"nombre","edad","posicion","imagen","nacionalidadAlt","nacionalidad","nacionalidad2Alt","nacionalidad2","club","clubAlt","valorCarrera","ultimaRevision","valorMercado"
"Eberechi Eze","26","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/479999-1678466922.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Nigeria","https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/873.png?lm=1457723287","Crystal Palace","60,00 mill. €","30/05/2025","55,00 mill. €"
"Gabriel Martinelli","24","Extremo izquierdo","https://img.a.transfermarkt.technology/portrait/medium/655488-1682689091.jpg?lm=1","Brasil","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","Italia","https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","85,00 mill. €","30/05/2025","55,00 mill. €"
"Ethan Nwaneri","18","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/890719-1730794927.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Nigeria","https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","55,00 mill. €","30/05/2025","55,00 mill. €"
"Murillo","22","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/1005649-1709159139.jpg?lm=1","Brasil","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/703.png?lm=1598890289","Nottingham Forest","55,00 mill. €","30/05/2025","55,00 mill. €"
"Morgan Rogers","22","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/503743-1706786450.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/405.png?lm=1717155982","Aston Villa","55,00 mill. €","30/05/2025","55,00 mill. €"
"Levi Colwill","22","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/614258-1694614507.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","55,00 mill. €","30/05/2025","55,00 mill. €"
"Bryan Mbeumo","25","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/413039-1668505084.jpg?lm=1","Camerún","https://tmssl.akamaized.net//images/flagge/verysmall/31.png?lm=1520611569","Francia","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/1148.png?lm=1625150543","Brentford FC","55,00 mill. €","30/05/2025","55,00 mill. €"
"Leny Yoro","19","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/923831-1747857948.jpg?lm=1","Francia","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","Costa de Marfil","https://tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","55,00 mill. €","30/05/2025","55,00 mill. €"
"Cristian Romero","27","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/355915-1665609429.jpg?lm=1","Argentina","https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","65,00 mill. €","30/05/2025","50,00 mill. €"
"João Pedro","23","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/626724-1724792744.jpg?lm=1","Brasil","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/1237.png?lm=1492718902","Brighton & Hove Albion","50,00 mill. €","30/05/2025","50,00 mill. €"
"Bruno Fernandes","30","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/240306-1683882766.jpg?lm=1","Portugal","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","90,00 mill. €","30/05/2025","50,00 mill. €"
"Dejan Kulusevski","25","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/431755-1684943454.jpg?lm=1","Suecia","https://tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1520611569","Macedonia del Norte","https://tmssl.akamaized.net//images/flagge/verysmall/100.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","60,00 mill. €","30/05/2025","50,00 mill. €"
"Jérémy Doku","23","Extremo izquierdo","https://img.a.transfermarkt.technology/portrait/medium/486049-1743670159.jpg?lm=1","Bélgica","https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569","Ghana","https://tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","65,00 mill. €","30/05/2025","50,00 mill. €"
"Micky van de Ven","24","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/557459-1744313600.jpg?lm=1","Países Bajos","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","55,00 mill. €","30/05/2025","50,00 mill. €"
"Marcus Rashford","27","Extremo izquierdo","https://img.a.transfermarkt.technology/portrait/medium/258923-1674473054.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","San Cristóbal y Nieves","https://tmssl.akamaized.net//images/flagge/verysmall/225.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/405.png?lm=1717155982","Aston Villa","85,00 mill. €","30/05/2025","50,00 mill. €"
"Nicolas Jackson","24","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/776890-1726227971.jpg?lm=1","Senegal","https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569","Gambia","https://tmssl.akamaized.net//images/flagge/verysmall/52.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","55,00 mill. €","30/05/2025","50,00 mill. €"
"Mohamed Salah","33","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/148455-1727337594.jpg?lm=1","Egipto","https://tmssl.akamaized.net//images/flagge/verysmall/2.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/31.png?lm=1727873452","Liverpool FC","150,00 mill. €","30/05/2025","50,00 mill. €"
"Amadou Onana","23","Pivote","https://img.a.transfermarkt.technology/portrait/medium/485706-1718697649.jpg?lm=1","Bélgica","https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569","Senegal","https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/405.png?lm=1717155982","Aston Villa","55,00 mill. €","30/05/2025","50,00 mill. €"
"Morgan Gibbs-White","25","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/429014-1687975822.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Jamaica","https://tmssl.akamaized.net//images/flagge/verysmall/76.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/703.png?lm=1598890289","Nottingham Forest","50,00 mill. €","30/05/2025","50,00 mill. €"
"Pedro Neto","25","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/487465-1709158892.jpg?lm=1","Portugal","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","55,00 mill. €","30/05/2025","50,00 mill. €"
"Savinho","21","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/743591-1719653229.jpg?lm=1","Brasil","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","55,00 mill. €","30/05/2025","50,00 mill. €"
"Jarrad Branthwaite","22","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/661053-1687975679.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/29.png?lm=1445949846","Everton FC","50,00 mill. €","30/05/2025","50,00 mill. €"
"Kobbie Mainoo","20","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/820374-1719349758.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Ghana","https://tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","55,00 mill. €","30/05/2025","50,00 mill. €"
"Ben White","27","Lateral derecho","https://img.a.transfermarkt.technology/portrait/medium/335721-1683275943.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","55,00 mill. €","30/05/2025","45,00 mill. €"
"Rayan Cherki","21","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/607223-1672831487.jpg?lm=1","Francia","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","Argelia","https://tmssl.akamaized.net//images/flagge/verysmall/4.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","45,00 mill. €","03/06/2025","45,00 mill. €"
"Myles Lewis-Skelly","18","Lateral izquierdo","https://img.a.transfermarkt.technology/portrait/medium/890721-1682599516.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Barbados","https://tmssl.akamaized.net//images/flagge/verysmall/17.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","45,00 mill. €","30/05/2025","45,00 mill. €"
"Adam Wharton","21","Pivote","https://img.a.transfermarkt.technology/portrait/medium/744149-1716297290.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/873.png?lm=1457723287","Crystal Palace","45,00 mill. €","30/05/2025","45,00 mill. €"
"Marc Guéhi","24","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/392757-1683030598.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Costa de Marfil","https://tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/873.png?lm=1457723287","Crystal Palace","45,00 mill. €","30/05/2025","45,00 mill. €"
"Manuel Ugarte","24","Pivote","https://img.a.transfermarkt.technology/portrait/medium/476701-1715107512.jpg?lm=1","Uruguay","https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","60,00 mill. €","30/05/2025","45,00 mill. €"
"Amad Diallo","22","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/536835-1747857754.jpg?lm=1","Costa de Marfil","https://tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1520611569","Italia","https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","45,00 mill. €","30/05/2025","45,00 mill. €"
"Darwin Núñez","25","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/546543-1681827179.jpg?lm=1","Uruguay","https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/31.png?lm=1727873452","Liverpool FC","70,00 mill. €","30/05/2025","45,00 mill. €"
"Mohammed Kudus","24","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/543499-1668429218.jpg?lm=1","Ghana","https://tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/379.png?lm=1464675260","West Ham United","50,00 mill. €","30/05/2025","45,00 mill. €"
"Milos Kerkez","21","Lateral izquierdo","https://img.a.transfermarkt.technology/portrait/medium/730861-1660762995.jpg?lm=1","Hungría","https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893","Serbia","https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/989.png?lm=1457991811","AFC Bournemouth","45,00 mill. €","30/05/2025","45,00 mill. €"
"Curtis Jones","24","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/433188-1701681163.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/31.png?lm=1727873452","Liverpool FC","50,00 mill. €","30/05/2025","45,00 mill. €"
