"nombre","edad","posicion","imagen","nacionalidadAlt","nacionalidad","nacionalidad2Alt","nacionalidad2","club","clubAlt","valorCarrera","ultimaRevision","valorMercado"
"Liam Delap","22","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/610849-1746646306.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Irlanda","https://tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","40,00 mill. €","30/05/2025","40,00 mill. €"
"David Raya","29","Portero","https://img.a.transfermarkt.technology/portrait/medium/262749-1668168018.jpg?lm=1","España","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","40,00 mill. €","30/05/2025","40,00 mill. €"
"Dominic Solanke","27","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/258889-1708340487.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Nigeria","https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","45,00 mill. €","30/05/2025","40,00 mill. €"
"Ollie Watkins","29","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/324358-1708341279.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/405.png?lm=1717155982","Aston Villa","65,00 mill. €","30/05/2025","40,00 mill. €"
"Rico Lewis","20","Lateral derecho","https://img.a.transfermarkt.technology/portrait/medium/701057-1684856684.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","40,00 mill. €","30/05/2025","40,00 mill. €"
"Roméo Lavia","21","Pivote","https://img.a.transfermarkt.technology/portrait/medium/628451-1683898478.jpg?lm=1","Bélgica","https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","50,00 mill. €","30/05/2025","40,00 mill. €"
"João Gomes","24","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/735570-1675092223.jpg?lm=1","Brasil","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/543.png?lm=1467496784","Wolverhampton Wanderers","40,00 mill. €","30/05/2025","40,00 mill. €"
"Boubacar Kamara","25","Pivote","https://img.a.transfermarkt.technology/portrait/medium/394327-1736160460.jpg?lm=1","Francia","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","Senegal","https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/405.png?lm=1717155982","Aston Villa","40,00 mill. €","30/05/2025","40,00 mill. €"
"Tino Livramento","22","Lateral derecho","https://img.a.transfermarkt.technology/portrait/medium/503981-1699383321.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Escocia","https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/762.png?lm=1472921161","Newcastle United","40,00 mill. €","30/05/2025","40,00 mill. €"
"Youri Tielemans","28","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/249565-1716886438.jpg?lm=1","Bélgica","https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569","RD del Congo","https://tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/405.png?lm=1717155982","Aston Villa","55,00 mill. €","30/05/2025","38,00 mill. €"
"Lucas Bergvall","19","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/866246-1701861399.jpg?lm=1","Suecia","https://tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","38,00 mill. €","30/05/2025","38,00 mill. €"
"Pedro Porro","25","Lateral derecho","https://img.a.transfermarkt.technology/portrait/medium/553875-1730812390.jpg?lm=1","España","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","45,00 mill. €","30/05/2025","38,00 mill. €"
"Archie Gray","19","Pivote","https://img.a.transfermarkt.technology/portrait/medium/922693-1695108880.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Escocia","https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/148.png?lm=1732011953","Tottenham Hotspur","38,00 mill. €","30/05/2025","38,00 mill. €"
"Bernardo Silva","30","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/241641-1684311533.jpg?lm=1","Portugal","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","100,00 mill. €","30/05/2025","38,00 mill. €"
"Matthijs de Ligt","25","Defensa central","https://img.a.transfermarkt.technology/portrait/medium/326031-1700659567.jpg?lm=1","Países Bajos","https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","75,00 mill. €","30/05/2025","38,00 mill. €"
"Mikel Merino","28","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/338424-1716803831.jpg?lm=1","España","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","50,00 mill. €","30/05/2025","35,00 mill. €"
"Rayan Aït-Nouri","24","Lateral izquierdo","https://img.a.transfermarkt.technology/portrait/medium/578391-1695656762.jpg?lm=1","Argelia","https://tmssl.akamaized.net//images/flagge/verysmall/4.png?lm=1520611569","Francia","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","35,00 mill. €","30/05/2025","35,00 mill. €"
"Rasmus Højlund","22","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/610442-1699471458.jpg?lm=1","Dinamarca","https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/985.png?lm=1457975903","Manchester United","65,00 mill. €","30/05/2025","35,00 mill. €"
"Antonee Robinson","27","Lateral izquierdo","https://img.a.transfermarkt.technology/portrait/medium/349701-1703926612.jpg?lm=1","Estados Unidos","https://tmssl.akamaized.net//images/flagge/verysmall/184.png?lm=1520611569","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/931.png?lm=1556831687","Fulham FC","35,00 mill. €","30/05/2025","35,00 mill. €"
"Christopher Nkunku","27","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/344381-1663686834.jpg?lm=1","Francia","https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569","RD del Congo","https://tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","80,00 mill. €","30/05/2025","35,00 mill. €"
"Marc Cucurella","26","Lateral izquierdo","https://img.a.transfermarkt.technology/portrait/medium/284857-1659559729.jpg?lm=1","España","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","55,00 mill. €","30/05/2025","35,00 mill. €"
"Matheus Nunes","26","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/601883-1693561106.jpg?lm=1","Portugal","https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569","Brasil","https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","55,00 mill. €","30/05/2025","35,00 mill. €"
"Riccardo Calafiori","23","Lateral izquierdo","https://img.a.transfermarkt.technology/portrait/medium/502821-1727382174.jpg?lm=1","Italia","https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","45,00 mill. €","30/05/2025","35,00 mill. €"
